Variable,Units,Description
fixedse.transition_piece_cost,USD,
fixedse.tower_mass,kg,
fixedse.tower_cost,USD,
fixedse.monopile_height,m,
fixedse.tower_foundation_height,m,
fixedse.monopile_foundation_height,m,
fixedse.tower_base_diameter,m,
fixedse.monopile_top_diameter,m,
fixedse.soil.d0,m,
fixedse.G_soil,Pa,
fixedse.nu_soil,,
fixedse.soil.k_usr,N/m,
rotorse.ccblade.Uhub,m/s,Undisturbed wind speed
rotorse.tsr,,Tip speed ratio
rotorse.pitch,deg,Pitch angle
rotorse.r,m,radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
rotorse.ccblade.s_opt_chord,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
rotorse.ccblade.s_opt_theta,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist
rotorse.chord,m,chord length at each section
rotorse.ccblade.theta_in,rad,twist angle at each section (positive decreases angle of attack)
rotorse.ccblade.aoa_op,rad,1D array with the operational angles of attack for the airfoils along blade span.
rotorse.airfoils_aoa,deg,angle of attack grid for polars
rotorse.airfoils_cl,,"lift coefficients, spanwise"
rotorse.airfoils_cd,,"drag coefficients, spanwise"
rotorse.airfoils_cm,,"moment coefficients, spanwise"
rotorse.airfoils_Re,,Reynolds numbers of polars
rotorse.Rhub,m,hub radius
rotorse.Rtip,m,Distance between rotor center and blade tip along z axis of blade root c.s.
rotorse.ccblade.rthick,,1D array of the relative thicknesses of the blade defined along span.
rotorse.precurve,m,precurve at each section
rotorse.precurveTip,m,precurve at tip
rotorse.presweep,m,presweep at each section
rotorse.presweepTip,m,presweep at tip
rotorse.hub_height,m,hub height
rotorse.precone,deg,precone angle
rotorse.tilt,deg,shaft tilt
rotorse.yaw,deg,yaw error
rotorse.rho_air,kg/m**3,density of air
rotorse.mu_air,kg/m/s,dynamic viscosity of air
rotorse.shearExp,,shear exponent
rotorse.nBlades,n/a,number of blades
rotorse.nSector,n/a,number of sectors to divide rotor face into in computing thrust and power
rotorse.tiploss,n/a,include Prandtl tip loss model
rotorse.hubloss,n/a,include Prandtl hub loss model
rotorse.wakerotation,n/a,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
rotorse.usecd,n/a,use drag coefficient in computing induction factors
rotorse.rc.blade_length,m,blade length
rotorse.rc.s,,blade nondimensional span location
rotorse.rc.chord,m,Chord distribution
rotorse.rc.coord_xy_interp,,3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
rotorse.rc.web_start_nd,,"2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
rotorse.rc.web_end_nd,,"2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
rotorse.rc.layer_thickness,m,"2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rc.layer_start_nd,,"2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rc.layer_end_nd,,"2D array of the non-dimensional end point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rc.rho,kg/m**3,"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.rc.unit_cost,USD/kg,1D array of the unit costs of the materials.
rotorse.rc.waste,,1D array of the non-dimensional waste fraction of the materials.
rotorse.rc.rho_fiber,kg/m**3,1D array of the density of the fibers of the materials.
rotorse.rc.ply_t,m,1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
rotorse.rc.fwf,,1D array of the non-dimensional fiber weight fraction of the composite materials. Non-composite materials are kept at 0.
rotorse.rc.fvf,,1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
rotorse.rc.roll_mass,kg,1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
rotorse.rc.flange_adhesive_squeezed,,Extra width of the adhesive once squeezed
rotorse.rc.flange_thick,m,Average thickness of adhesive
rotorse.rc.flange_width,m,Average width of adhesive lines
rotorse.rc.t_bolt_unit_cost,USD,Cost of one t-bolt
rotorse.rc.t_bolt_unit_mass,kg,Mass of one t-bolt
rotorse.rc.t_bolt_spacing,m,Spacing of t-bolts along blade root circumference
rotorse.rc.barrel_nut_unit_cost,USD,Cost of one barrel nut
rotorse.rc.barrel_nut_unit_mass,kg,Mass of one barrel nut
rotorse.rc.LPS_unit_mass,kg/m,Unit mass of the lightining protection system. Linear scaling based on the weight of 150 lbs for the 61.5 m NREL 5MW blade
rotorse.rc.LPS_unit_cost,USD/m,Unit cost of the lightining protection system. Linear scaling based on the cost of 2500$ for the 61.5 m NREL 5MW blade
rotorse.rc.root_preform_length,,Percentage of blade length starting from blade root that is preformed and later inserted into the mold
rotorse.rc.build_layer,n/a,1D array of boolean values indicating how to build a layer.
rotorse.rc.mat_name,n/a,1D array of names of materials.
rotorse.rc.orth,n/a,1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.EA,N,"Axial stiffness at the elastic center, using the convention of WISDEM solver PreComp."
rotorse.EIxx,N*m**2,"Section lag (edgewise) bending stiffness about the XE axis, using the convention of WISDEM solver PreComp."
rotorse.EIyy,N*m**2,"Section flap bending stiffness about the YE axis, using the convention of WISDEM solver PreComp."
rotorse.EIxy,N*m**2,"Coupled flap-lag stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.re.EA_EIxx,N*m,"Coupled axial-lag stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.re.EA_EIyy,N*m,"Coupled axial-flap stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.re.EIxx_GJ,N*m**2,"Coupled lag-torsion stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.re.EIyy_GJ,N*m**2,"Coupled flap-torsion stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.re.EA_GJ,N*m,"Coupled axial-torsion stiffness with respect to the XE-YE frame, using the convention of WISDEM solver PreComp."
rotorse.GJ,N*m**2,"Section torsion stiffness at the elastic center, using the convention of WISDEM solver PreComp."
rotorse.rhoA,kg/m,"Section mass per unit length, using the convention of WISDEM solver PreComp."
rotorse.rhoJ,kg*m,"polar mass moment of inertia per unit length, using the convention of WISDEM solver PreComp."
rotorse.re.Tw_iner,deg,"Orientation of the section principal inertia axes with respect the blade reference plane, using the convention of WISDEM solver PreComp."
rotorse.re.x_tc,m,"X-coordinate of the tension-center offset with respect to the XR-YR axes, using the convention of WISDEM solver PreComp."
rotorse.re.y_tc,m,"Chordwise offset of the section tension-center with respect to the XR-YR axes, using the convention of WISDEM solver PreComp."
rotorse.re.x_cg,m,"X-coordinate of the center-of-mass offset with respect to the XR-YR axes, using the convention of WISDEM solver PreComp."
rotorse.re.y_cg,m,"Chordwise offset of the section center of mass with respect to the XR-YR axes, using the convention of WISDEM solver PreComp."
rotorse.re.flap_iner,kg/m,"Section flap inertia about the Y_G axis per unit length, using the convention of WISDEM solver PreComp."
rotorse.re.edge_iner,kg/m,"Section lag inertia about the X_G axis per unit length, using the convention of WISDEM solver PreComp."
rotorse.re.generate_KI.theta,deg,Aerodynamic twist angle at each section (positive decreases angle of attack)
rotorse.theta,deg,Twist angle at each section (positive decreases angle of attack)
rotorse.re.section_offset_y,m,"1D array of the airfoil position relative to the reference axis, specifying the distance in meters along the chordline from the reference axis to the leading edge. 0 means that the airfoil is pinned at the leading edge, a positive offset means that the leading edge is upstream of the reference axis in local chordline coordinates, and a negative offset that the leading edge aft of the reference axis."
rotorse.re.coord_xy_interp,,3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
rotorse.re.precomp.uptilt,deg,Nacelle uptilt angle. A standard machine has positive values.
rotorse.re.precomp.web_start_nd,,"2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each entry along blade span, the second dimension represents each web."
rotorse.re.precomp.web_end_nd,,"2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1.  The first dimension represents each entry along blade span, the second dimension represents each web."
rotorse.re.precomp.layer_thickness,m,"2D array of the thickness of the layers of the blade structure. The first dimension represents each entry along blade span, the second dimension represents each layer."
rotorse.re.precomp.layer_start_nd,,"2D array of the start_nd_arc of the anchors. The first dimension represents each entry along blade span, the second dimension represents each layer."
rotorse.re.precomp.layer_end_nd,,"2D array of the end_nd_arc of the anchors. The first dimension represents each entry along blade span, the second dimension represents each layer."
rotorse.re.precomp.fiber_orientation,deg,"2D array of the orientation of the layers of the blade structure. The first dimension represents each entry along blade span, the second dimension represents each layer."
rotorse.re.precomp.E,Pa,"2D array of the Youngs moduli of the materials. Each row represents a material, the three columns represent E11, E22 and E33."
rotorse.re.precomp.G,Pa,"2D array of the shear moduli of the materials. Each row represents a material, the three columns represent G12, G13 and G23."
rotorse.re.precomp.nu,,"2D array of the Poisson ratio of the materials. Each row represents a material, the three columns represent nu12, nu13 and nu23."
rotorse.re.precomp.rho,kg/m**3,"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.re.precomp.joint_position,,Spanwise position of the segmentation joint.
rotorse.re.precomp.joint_mass,kg,Mass of the joint.
rotorse.re.n_blades,n/a,Number of blades of the rotor.
rotorse.re.precomp.build_layer,n/a,1D array of boolean values indicating how to build a layer.
rotorse.re.precomp.mat_name,n/a,1D array of names of materials.
rotorse.re.precomp.orth,n/a,1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.total_bc.joint_cost,USD,Total blade joint cost
rotorse.total_bc.inner_blade_cost,USD,Total cost (variable and fixed) for the blade inner portion.
rotorse.total_bc.outer_blade_cost,USD,Total cost (variable and fixed) for the blade outer portion.
rotorse.wt_class.V_mean_overwrite,,
rotorse.wt_class.V_extreme50_overwrite,,
rotorse.wt_class.turbine_class,n/a,
towerse.distribute_lumped_mass.mass_den,kg/m,
towerse.distribute_lumped_mass.section_height,m,
towerse.lumped_mass_in,kg,
towerse.member.gc.d,m,
towerse.member.gc.t,m,
towerse.member.s,,
towerse.member.height,m,
towerse.tower_outer_diameter,m,
towerse.member.ca_usr_grid,,
towerse.member.cd_usr_grid,,
towerse.tower_wall_thickness,m,
towerse.member.E,Pa,
towerse.member.G,Pa,
towerse.member.sigma_y,Pa,
towerse.member.rho,kg/m**3,
towerse.member.unit_cost,USD/kg,
towerse.member.outfitting_factor,,
towerse.rho_water,kg/m**3,
towerse.member.s_ghost1,,
towerse.member.s_ghost2,,
towerse.tower_s,,
towerse.member.s_const1,,
towerse.member.s_const2,,
towerse.tower_layer_thickness,m,
towerse.tower_outer_diameter_in,m,
towerse.E_mat,Pa,
towerse.E_user,Pa,
towerse.G_mat,Pa,
towerse.sigma_y_mat,Pa,
towerse.sigma_ult_mat,Pa,
towerse.wohler_exp_mat,,
towerse.wohler_A_mat,,
towerse.rho_mat,kg/m**3,
towerse.unit_cost_mat,USD/kg,
towerse.outfitting_factor_in,,
towerse.tower_layer_materials,n/a,
towerse.member.ballast_materials,n/a,
towerse.material_names,n/a,
towerse.outfitting_full,,
towerse.member.unit_cost_full,USD/kg,
towerse.labor_cost_rate,USD/min,
towerse.painting_cost_rate,USD/m**2,
towerse.tower_mass_user,kg,
towerse.hub_height,m,
towerse.foundation_height,m,
af_3d.aoa,deg,1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
af_3d.Re,,1D array of the Reynolds numbers used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
af_3d.cl,,"4D array with the lift coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
af_3d.cd,,"4D array with the drag coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
af_3d.cm,,"4D array with the moment coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
af_3d.rated_TSR,,Constant tip speed ratio in region II.
af_3d.r_blade,m,1D array of the dimensional spanwise grid defined along the rotor (hub radius to blade tip projected on the plane)
af_3d.rotor_diameter,m,"Diameter of the wind turbine rotor specified by the user, defined as 2 x (Rhub + blade length along z) * cos(precone)."
af_3d.rthick,,1D array of the relative thicknesses of the blade defined along span.
af_3d.chord,m,1D array of the chord values defined along blade span.
blade.compute_coord_xy_dim.chord,m,1D array of the chord values defined along blade span.
blade.compute_coord_xy_dim.section_offset_y,m,"1D array of the airfoil position relative to the reference axis, specifying the distance in meters along the chordline from the reference axis to the leading edge. 0 means that the airfoil is pinned at the leading edge, a positive offset means that the leading edge is upstream of the reference axis in local chordline coordinates, and a negative offset that the leading edge aft of the reference axis."
blade.compute_coord_xy_dim.twist,deg,1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.compute_coord_xy_dim.coord_xy_interp,,3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
blade.compute_coord_xy_dim.ref_axis,m,"2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.compute_reynolds.rho,kg/m**3,
blade.compute_reynolds.mu,kg/m/s,Dynamic viscosity of air
blade.compute_reynolds.chord,m,
blade.compute_reynolds.r_blade,m,1D array of the dimensional spanwise grid defined along the rotor (hub radius to blade tip projected on the plane)
blade.compute_reynolds.rotor_diameter,m,"Diameter of the wind turbine rotor specified by the user, defined as 2 x (Rhub + blade length along z) * cos(precone)."
blade.compute_reynolds.maxOmega,rad/s,Maximum allowed rotor speed.
blade.compute_reynolds.max_TS,m/s,Maximum allowed blade tip speed.
blade.compute_reynolds.V_out,m/s,Cut out wind speed. This is the wind speed where region III ends.
blade.high_level_blade_props.blade_ref_axis_user,m,"2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.high_level_blade_props.rotor_diameter_user,m,"Diameter of the rotor specified by the user, defined as 2 x (Rhub + blade length along z) * cos(precone)."
blade.high_level_blade_props.hub_radius,m,Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
blade.high_level_blade_props.cone,deg,Cone angle of the rotor. It defines the angle between the rotor plane and the blade pitch axis. A standard machine has positive values.
blade.high_level_blade_props.chord,m,1D array of the chord values defined along blade span.
blade.high_level_blade_props.n_blades,n/a,Number of blades of the rotor.
blade.interp_airfoils.af_position,,1D array of the non dimensional positions of the airfoils af_master defined along blade span.
blade.interp_airfoils.s,,"1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.interp_airfoils.section_offset_y,m,"1D array of the airfoil position relative to the reference axis, specifying the distance in meters along the chordline from the reference axis to the leading edge. 0 means that the airfoil is pinned at the leading edge, a positive offset means that the leading edge is upstream of the reference axis in local chordline coordinates, and a negative offset that the leading edge aft of the reference axis.."
blade.interp_airfoils.chord,m,1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,,1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.rthick_master,,1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,deg,1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,,"4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
blade.interp_airfoils.cd,,"4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
blade.interp_airfoils.cm,,"4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number."
blade.interp_airfoils.coord_xy,,3D array of the x and y airfoil coordinates of the n_af_master airfoils used along span.
blade.interp_airfoils.rthick_yaml,,1D array of the relative thicknesses of the blade defined along span.
blade.pa.s,,"1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,rad,1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,,1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,m,1D array of the chord being optimized at the n_opt locations.
blade.ps.s,,"1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.ps.layer_thickness_original,m,"2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.ps.s_opt_layer_0,,
blade.ps.layer_0_opt,m,
blade.ps.s_opt_layer_1,,
blade.ps.layer_1_opt,m,
blade.ps.s_opt_layer_2,,
blade.ps.layer_2_opt,m,
blade.ps.s_opt_layer_3,,
blade.ps.layer_3_opt,m,
blade.ps.s_opt_layer_4,,
blade.ps.layer_4_opt,m,
blade.ps.s_opt_layer_5,,
blade.ps.layer_5_opt,m,
blade.ps.s_opt_layer_6,,
blade.ps.layer_6_opt,m,
blade.ps.s_opt_layer_7,,
blade.ps.layer_7_opt,m,
blade.ps.s_opt_layer_8,,
blade.ps.layer_8_opt,m,
blade.ps.s_opt_layer_9,,
blade.ps.layer_9_opt,m,
blade.ps.s_opt_layer_10,,
blade.ps.layer_10_opt,m,
blade.ps.s_opt_layer_11,,
blade.ps.layer_11_opt,m,
blade.ps.s_opt_layer_12,,
blade.ps.layer_12_opt,m,
blade.ps.s_opt_layer_13,,
blade.ps.layer_13_opt,m,
blade.ps.s_opt_layer_14,,
blade.ps.layer_14_opt,m,
blade.ps.s_opt_layer_15,,
blade.ps.layer_15_opt,m,
blade.ps.s_opt_layer_16,,
blade.ps.layer_16_opt,m,
blade.ps.s_opt_layer_17,,
blade.ps.layer_17_opt,m,
blade.structure.web_start_nd_yaml,,"2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.structure.web_end_nd_yaml,,"2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.structure.web_offset,m,"2D array of the dimensional offset of a web with respect to the reference axis. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.structure.web_rotation,deg,1D array of the dimensional rotation of a web with respect to the reference axis. The dimension represents each web.
blade.structure.layer_start_nd_yaml,,"2D array of the start_nd_arc of the layers. The first dimension represents each layer, the second dimension represents span."
blade.structure.layer_end_nd_yaml,,"2D array of the end_nd_arc of the layers. The first dimension represents each layer, the second dimension represents span."
blade.structure.layer_width,m,"2D array of the width of the layers. The first dimension represents each layer, the second dimension represents span."
blade.structure.layer_offset,m,"2D array of the dimensional offset of a layer with respect to the reference axis. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.structure.layer_rotation,deg,1D array of the dimensional rotation of a layer with respect to the reference axis. The dimension represents each layer.
blade.structure.coord_xy_dim,m,3D array of the dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The origin is placed at the pitch axis.
blade.structure.build_web,n/a,1D array of boolean values indicating whether to build a web from offset and rotation.
blade.structure.build_layer,n/a,"1D array of boolean values indicating how to build a layer. 0 - start and end are set constant, 1 - from offset and rotation suction side, 2 - from offset and rotation pressure side, 3 - LE and width, 4 - TE SS width, 5 - TE PS width, 6 - locked to another layer. Negative values place the layer on webs (-1 first web, -2 second web, etc.)."
blade.structure.index_layer_start,n/a,Index used to fix a layer to another
blade.structure.index_layer_end,n/a,Index used to fix a layer to another
high_level_tower_props.tower_ref_axis_user,m,"2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.distance_tt_hub,m,Vertical distance from tower top to hub center.
high_level_tower_props.hub_height_user,m,Height of the hub specified by the user.
high_level_tower_props.rotor_diameter,m,"Scalar of the rotor diameter, defined as 2 x (Rhub + blade length along z) * cos(precone)."
hub.diameter,m,
materials.rho_fiber,kg/m**3,1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,n/a,1D array of names of materials.
materials.orth,n/a,1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
monopile.ref_axis,m,"2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
tower_grid.ref_axis,m,"2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
drivese.bear1.D_bearing,m,
drivese.bear1.D_shaft,m,
drivese.bear1.mb_mass_user,kg,
drivese.bear1.bearing_type,n/a,
drivese.bear2.D_bearing,m,
drivese.bear2.D_shaft,m,
drivese.bear2.mb_mass_user,kg,
drivese.bear2.bearing_type,n/a,
drivese.rotor_diameter,m,
drivese.rated_torque,N*m,
drivese.brake_mass_user,kg,
drivese.s_rotor,m,
drivese.s_gearbox,m,
drivese.lss_spring_constant,N*m/rad,
drivese.hss_spring_constant,N*m/rad,
drivese.gear_ratio,,
drivese.damping_ratio,,
drivese.blades_I,kg*m**2,
drivese.hub_system_I,kg*m**2,
drivese.drivetrain_spring_constant_user,N*m/rad,
drivese.drivetrain_damping_coefficient_user,N*m*s/rad,
drivese.machine_rating,kW,
drivese.D_top,m,
drivese.converter_mass_user,kg,
drivese.transformer_mass_user,kg,
drivese.gearbox_mass_user,kg,
drivese.gearbox_radius_user,m,
drivese.gearbox_length_user,m,
drivese.gear_configuration,n/a,
drivese.planet_numbers,n/a,
drivese.generator.u_allow_s,m,
drivese.generator.u_as,m,
drivese.generator.z_allow_s,m,
drivese.generator.z_as,m,
drivese.generator.y_allow_s,m,
drivese.generator.y_as,m,
drivese.generator.b_allow_s,m,
drivese.generator.b_st,m,
drivese.generator.u_allow_r,m,
drivese.generator.u_ar,m,
drivese.generator.y_allow_r,m,
drivese.generator.y_ar,m,
drivese.generator.z_allow_r,m,
drivese.generator.z_ar,m,
drivese.generator.b_allow_r,m,
drivese.generator.b_arm,m,
drivese.generator.TC1,m**3,
drivese.generator.TC2r,m**3,
drivese.generator.TC2s,m**3,
drivese.generator.B_g,T,
drivese.generator.B_smax,T,
drivese.generator.K_rad,,
drivese.generator.K_rad_LL,,
drivese.generator.K_rad_UL,,
drivese.generator.D_ratio,,
drivese.generator.D_ratio_LL,,
drivese.generator.D_ratio_UL,,
drivese.generator.shaft_rpm,rpm,
drivese.generator.eandm_efficiency,,
drivese.generator.C_Cu,USD/kg,
drivese.generator.C_Fe,USD/kg,
drivese.generator.C_Fes,USD/kg,
drivese.generator.C_PM,USD/kg,
drivese.generator.Copper,kg,
drivese.generator.Iron,kg,
drivese.generator.mass_PM,kg,
drivese.generator.Structural_mass,kg,
drivese.generator.B_r,T,
drivese.generator.E,Pa,
drivese.generator.G,Pa,
drivese.generator.P_Fe0e,W/kg,
drivese.generator.P_Fe0h,W/kg,
drivese.generator.S_N,,
drivese.generator.alpha_p,,
drivese.generator.b_r_tau_r,,
drivese.generator.b_ro,m,
drivese.generator.b_s_tau_s,,
drivese.generator.b_so,m,
drivese.generator.cofi,,
drivese.generator.freq,Hz,
drivese.generator.h_i,m,
drivese.generator.h_sy0,,
drivese.generator.h_w,m,
drivese.generator.k_fes,,
drivese.generator.k_fillr,,
drivese.generator.k_fills,,
drivese.generator.k_s,,
drivese.generator.mu_0,m*kg/s**2/A**2,
drivese.generator.mu_r,m*kg/s**2/A**2,
drivese.generator.p,,
drivese.generator.phi,rad,
drivese.generator.ratio_mw2pp,,
drivese.generator.resist_Cu,ohm/m,
drivese.generator.sigma,Pa,
drivese.generator.v,,
drivese.generator.y_tau_p,,
drivese.generator.y_tau_pr,,
drivese.generator.I_0,A,
drivese.generator.d_r,m,
drivese.generator.h_m,m,
drivese.generator.h_0,m,
drivese.generator.h_s,m,
drivese.generator.len_s,m,
drivese.generator.n_r,,
drivese.generator.rad_ag,m,
drivese.generator.t_wr,m,
drivese.generator.n_s,,
drivese.generator.d_s,m,
drivese.generator.t_ws,m,
drivese.generator.D_shaft,m,
drivese.generator.rho_Copper,kg/m**3,
drivese.generator.rho_Fe,kg/m**3,
drivese.generator.rho_Fes,kg/m**3,
drivese.generator.rho_PM,kg/m**3,
drivese.generator_mass_user,kg,
drivese.generator.P_mech,W,
drivese.generator.N_c,,
drivese.generator.b,,
drivese.generator.c,,
drivese.generator.E_p,V,
drivese.generator.h_yr,m,
drivese.generator.h_ys,m,
drivese.generator.h_sr,m,
drivese.generator.h_ss,m,
drivese.generator.t_r,m,
drivese.generator.t_s,m,
drivese.generator.y_sh,m,
drivese.generator.theta_sh,rad,
drivese.generator.D_nose,m,
drivese.generator.y_bd,m,
drivese.generator.theta_bd,rad,
drivese.generator.u_allow_pcent,,
drivese.generator.y_allow_pcent,,
drivese.generator.z_allow_deg,deg,
drivese.generator.B_tmax,T,
drivese.generator.m,n/a,
drivese.generator.q1,n/a,
drivese.generator.q2,n/a,
drivese.generator.R_out,m,
drivese.generator_stator_mass,kg,
drivese.generator_rotor_mass,kg,
drivese.generator_mass,kg,
drivese.pitch_mass,kg,
drivese.pitch_cost,USD,
drivese.pitch_I,kg*m**2,
drivese.hub_mass,kg,
drivese.hub_cost,USD,
drivese.hub_cm,m,
drivese.hub_I,kg*m**2,
drivese.spinner_mass,kg,
drivese.spinner_cost,kg,
drivese.spinner_cm,m,
drivese.spinner_I,kg*m**2,
drivese.hub_system_mass_user,kg,
drivese.hub_system_cm_user,m,
drivese.hub_system_I_user,kg*m**2,
drivese.flange_t2shell_t,,
drivese.flange_OD2hub_D,,
drivese.flange_ID2flange_OD,,
drivese.hub_shell.rho,kg/m**3,
drivese.max_torque,N*m,
drivese.hub_shell.Xy,Pa,
drivese.hub_stress_concentration,,
drivese.hub_shell.metal_cost,USD/kg,
drivese.hub_diameter,m,
drivese.blade_root_diameter,m,
drivese.hub_in2out_circ,,
drivese.hub_shell_mass_user,kg,
drivese.hub_shell.n_blades,n/a,
drivese.rated_rpm,rpm,
drivese.stop_time,s,
drivese.blade_mass,kg,
drivese.pitch_system.rho,kg/m**3,
drivese.pitch_system.Xy,Pa,
drivese.pitch_system_scaling_factor,,
drivese.pitch_system.BRFM,N*m,
drivese.pitch_system_mass_user,kg,
drivese.n_blades,n/a,
drivese.clearance_hub_spinner,m,
